Knoten1,Knoten2,Zähler,Zähler_normalisiert
94,209,3212,0.5
209,210,3212,0.5
210,522,3212,0.5
522,344,2672,0.5840597758405978
344,222,2672,0.5840597758405978
222,223,2672,0.5840597758405978
223,329,2672,0.5840597758405978
329,305,2672,0.5840597758405978
305,517,2672,0.5840597758405978
517,350,1238,0.8072851805728518
350,481,1238,0.8072851805728518
481,524,1129,0.824252801992528
524,100,480,0.925280199252802
100,99,480,0.925280199252802
99,456,480,0.925280199252802
456,98,399,0.9378891656288917
98,455,399,0.9378891656288917
455,496,208,0.9676214196762142
496,511,459,0.9285491905354919
511,129,152,0.9763387297633873
129,160,152,0.9763387297633873
160,529,152,0.9763387297633873
529,403,182,0.9716687422166874
403,486,182,0.9716687422166874
486,363,210,0.9673100871731009
363,512,210,0.9673100871731009
512,503,224,0.9651307596513076
503,395,226,0.9648194271481942
395,459,226,0.9648194271481942
459,115,51,0.9920610211706102
115,353,51,0.9920610211706102
353,369,51,0.9920610211706102
369,498,51,0.9920610211706102
498,257,103,0.9839663760896638
257,494,103,0.9839663760896638
494,268,356,0.9445828144458281
268,388,356,0.9445828144458281
388,389,356,0.9445828144458281
389,197,876,0.8636363636363636
197,340,876,0.8636363636363636
340,232,876,0.8636363636363636
232,233,876,0.8636363636363636
233,378,876,0.8636363636363636
378,464,876,0.8636363636363636
464,162,1238,0.8072851805728518
162,28,187,0.9708904109589042
481,457,64,0.9900373599003736
457,524,64,0.9900373599003736
511,407,1290,0.7991905354919053
407,532,1070,0.8334371108343711
532,533,308,0.952054794520548
533,530,145,0.9774283935242839
530,523,444,0.9308841843088418
523,519,17,0.9973536737235368
519,483,17,0.9973536737235368
483,477,88,0.9863013698630136
477,525,30,0.9953300124533001
525,437,28,0.9956413449564134
437,392,50,0.9922166874221668
392,372,52,0.9919053549190535
372,442,233,0.9637297633872977
442,508,1019,0.8413760896637609
508,230,2325,0.6380759651307597
230,229,2325,0.6380759651307597
229,417,2325,0.6380759651307597
417,430,2109,0.6716998754669987
430,418,1974,0.6927148194271482
418,409,1974,0.6927148194271482
409,313,1974,0.6927148194271482
313,312,1974,0.6927148194271482
312,275,1974,0.6927148194271482
275,173,1974,0.6927148194271482
173,174,1974,0.6927148194271482
174,284,1974,0.6927148194271482
284,335,1974,0.6927148194271482
335,386,1974,0.6927148194271482
386,301,1974,0.6927148194271482
301,405,1974,0.6927148194271482
405,161,1974,0.6927148194271482
161,162,1974,0.6927148194271482
455,431,192,0.9701120797011208
