Opt_routes_tuples,Month,Code
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 99, 98, 455, 97, 454, 495, 510, 128, 159, 528, 402, 485, 362, 511, 502, 394, 458, 114, 352, 368, 497, 256, 493, 267, 387, 388, 196, 339, 231, 232, 377, 463, 161]",Mr,00_09_46
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 456, 523, 99, 98, 455, 97, 454, 495, 510, 406, 531, 532, 529, 522, 518, 482, 476, 524, 436, 391, 371, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160, 161]",Mr,00_24_47
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 99, 98, 455, 97, 454, 430, 496, 534, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 441, 507, 229, 228, 416, 429, 76, 477, 315, 410, 360, 388, 196, 339, 231, 232, 377, 463, 161]",Mr,00_39_49
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 456, 523, 99, 98, 455, 97, 454, 495, 510, 128, 159, 528, 402, 485, 362, 511, 502, 394, 458, 114, 352, 368, 497, 235, 214, 148, 149, 506, 423, 503, 342, 125, 463, 161]",Mr,00_54_50
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 99, 98, 455, 346, 249, 519, 501, 481, 495, 430, 496, 262, 504, 487, 530, 482, 525, 526, 24, 5, 514, 444, 441, 507, 229, 228, 416, 450, 246, 477, 315, 410, 360, 388, 196, 339, 231, 232, 377, 463, 161]",Mr,01_09_51
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 523, 99, 98, 455, 97, 454, 495, 510, 406, 504, 487, 530, 482, 476, 526, 24, 527, 444, 441, 507, 229, 228, 416, 429, 76, 477, 315, 410, 360, 388, 196, 339, 231, 232, 377, 463, 161]",Mr,01_24_52
"[93, 208, 209, 521, 353, 409, 197, 146, 145, 414, 121, 347, 169, 168, 278, 459, 247, 248, 261, 433, 39, 446, 152, 473, 415, 400, 401, 462, 308, 499, 303, 505, 457, 294, 458, 114, 352, 368, 497, 256, 493, 267, 387, 388, 196, 339, 231, 232, 377, 463, 161]",Mr,01_39_53
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 349, 480, 456, 523, 99, 98, 455, 346, 249, 519, 481, 495, 430, 496, 262, 504, 531, 12, 529, 442, 451, 171, 437, 527, 444, 441, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160, 161]",Mr,01_54_54
"[93, 208, 209, 521, 265, 264, 439, 282, 380, 379, 399, 520, 174, 516, 349, 480, 523, 99, 98, 455, 97, 454, 430, 496, 534, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160, 161]",Mr,02_09_56
"[93, 208, 209, 521, 343, 221, 222, 328, 304, 516, 135, 443, 480, 523, 99, 98, 455, 97, 454, 430, 496, 534, 440, 331, 233, 14, 515, 21, 363, 275, 75, 427, 507, 229, 228, 416, 429, 417, 408, 312, 311, 274, 172, 173, 283, 334, 385, 300, 404, 160, 161]",Mr,02_24_57
